year,state,state_po,county,office,district,stage,special,candidate,party,writein,candidatevotes
2018,Arizona,AZ,Apache,US Senator,statewide,gen,False,Angela Green,green,False,961.0
2018,Arizona,AZ,Apache,US Senator,statewide,gen,False,Kyrsten Sinema,democrat,False,16298.0
2018,Arizona,AZ,Apache,US Senator,statewide,gen,False,Martha McSally,republican,False,7810.0
2018,Arizona,AZ,Apache,US Senator,statewide,gen,False,,,True,18.0
2018,Arizona,AZ,Cochise,US Senator,statewide,gen,False,Angela Green,green,False,1212.0
2018,Arizona,AZ,Cochise,US Senator,statewide,gen,False,Kyrsten Sinema,democrat,False,17383.0
2018,Arizona,AZ,Cochise,US Senator,statewide,gen,False,Martha McSally,republican,False,26929.0
2018,Arizona,AZ,Cochise,US Senator,statewide,gen,False,,,True,25.0
2018,Arizona,AZ,Coconino,US Senator,statewide,gen,False,Angela Green,green,False,1757.0
2018,Arizona,AZ,Coconino,US Senator,statewide,gen,False,Kyrsten Sinema,democrat,False,34240.0
2018,Arizona,AZ,Coconino,US Senator,statewide,gen,False,Martha McSally,republican,False,19249.0
2018,Arizona,AZ,Coconino,US Senator,statewide,gen,False,,,True,34.0
2018,Arizona,AZ,Gila,US Senator,statewide,gen,False,Angela Green,green,False,674.0
2018,Arizona,AZ,Gila,US Senator,statewide,gen,False,Kyrsten Sinema,democrat,False,7643.0
2018,Arizona,AZ,Gila,US Senator,statewide,gen,False,Martha McSally,republican,False,12180.0
2018,Arizona,AZ,Gila,US Senator,statewide,gen,False,,,True,2.0
2018,Arizona,AZ,Graham,US Senator,statewide,gen,False,Angela Green,green,False,363.0
2018,Arizona,AZ,Graham,US Senator,statewide,gen,False,Kyrsten Sinema,democrat,False,3368.0
2018,Arizona,AZ,Graham,US Senator,statewide,gen,False,Martha McSally,republican,False,6870.0
2018,Arizona,AZ,Graham,US Senator,statewide,gen,False,,,True,5.0
2018,Arizona,AZ,Greenlee,US Senator,statewide,gen,False,Angela Green,green,False,108.0
2018,Arizona,AZ,Greenlee,US Senator,statewide,gen,False,Kyrsten Sinema,democrat,False,1042.0
2018,Arizona,AZ,Greenlee,US Senator,statewide,gen,False,Martha McSally,republican,False,1416.0
2018,Arizona,AZ,Greenlee,US Senator,statewide,gen,False,,,True,1.0
2018,Arizona,AZ,La Paz,US Senator,statewide,gen,False,Angela Green,green,False,199.0
2018,Arizona,AZ,La Paz,US Senator,statewide,gen,False,Kyrsten Sinema,democrat,False,1609.0
2018,Arizona,AZ,La Paz,US Senator,statewide,gen,False,Martha McSally,republican,False,3265.0
2018,Arizona,AZ,La Paz,US Senator,statewide,gen,False,,,True,0.0
2018,Arizona,AZ,Maricopa,US Senator,statewide,gen,False,Angela Green,green,False,32371.0
2018,Arizona,AZ,Maricopa,US Senator,statewide,gen,False,Kyrsten Sinema,democrat,False,732671.0
2018,Arizona,AZ,Maricopa,US Senator,statewide,gen,False,Martha McSally,republican,False,672505.0
2018,Arizona,AZ,Maricopa,US Senator,statewide,gen,False,,,True,315.0
2018,Arizona,AZ,Mohave,US Senator,statewide,gen,False,Angela Green,green,False,2027.0
2018,Arizona,AZ,Mohave,US Senator,statewide,gen,False,Kyrsten Sinema,democrat,False,19214.0
2018,Arizona,AZ,Mohave,US Senator,statewide,gen,False,Martha McSally,republican,False,50209.0
2018,Arizona,AZ,Mohave,US Senator,statewide,gen,False,,,True,19.0
2018,Arizona,AZ,Navajo,US Senator,statewide,gen,False,Angela Green,green,False,1238.0
