state,state_po,county_str,office,special,candidate,party,writein,candidatevotes,won,MOV16,MOV18,18to16swing
Arizona,AZ,apache_az,US Senator,False,Angela Green,green,False,961.0,False,0.368776461761,0.3383425678638339,-0.03043389389716611
Arizona,AZ,apache_az,US Senator,False,Kyrsten Sinema,democrat,False,16298.0,True,0.368776461761,0.3383425678638339,-0.03043389389716611
Arizona,AZ,apache_az,US Senator,False,Martha McSally,republican,False,7810.0,False,0.368776461761,0.3383425678638339,-0.03043389389716611
Arizona,AZ,apache_az,US Senator,False,,,True,18.0,False,0.368776461761,0.3383425678638339,-0.03043389389716611
Arizona,AZ,cochise_az,US Senator,False,Angela Green,green,False,1212.0,False,-0.225855795305,-0.20957650003293155,0.01627929527206845
Arizona,AZ,cochise_az,US Senator,False,Kyrsten Sinema,democrat,False,17383.0,False,-0.225855795305,-0.20957650003293155,0.01627929527206845
Arizona,AZ,cochise_az,US Senator,False,Martha McSally,republican,False,26929.0,True,-0.225855795305,-0.20957650003293155,0.01627929527206845
Arizona,AZ,cochise_az,US Senator,False,,,True,25.0,False,-0.225855795305,-0.20957650003293155,0.01627929527206845
Arizona,AZ,coconino_az,US Senator,False,Angela Green,green,False,1757.0,False,0.19441785928900002,0.27118306801736614,0.07676520872836612
Arizona,AZ,coconino_az,US Senator,False,Kyrsten Sinema,democrat,False,34240.0,True,0.19441785928900002,0.27118306801736614,0.07676520872836612
Arizona,AZ,coconino_az,US Senator,False,Martha McSally,republican,False,19249.0,False,0.19441785928900002,0.27118306801736614,0.07676520872836612
Arizona,AZ,coconino_az,US Senator,False,,,True,34.0,False,0.19441785928900002,0.27118306801736614,0.07676520872836612
Arizona,AZ,gila_az,US Senator,False,Angela Green,green,False,674.0,False,-0.323675109823,-0.2213278696521781,0.10234724017082192
Arizona,AZ,gila_az,US Senator,False,Kyrsten Sinema,democrat,False,7643.0,False,-0.323675109823,-0.2213278696521781,0.10234724017082192
Arizona,AZ,gila_az,US Senator,False,Martha McSally,republican,False,12180.0,True,-0.323675109823,-0.2213278696521781,0.10234724017082192
Arizona,AZ,gila_az,US Senator,False,,,True,2.0,False,-0.323675109823,-0.2213278696521781,0.10234724017082192
Arizona,AZ,graham_az,US Senator,False,Angela Green,green,False,363.0,False,-0.39567802998600005,-0.33019045823118987,0.06548757175481018
Arizona,AZ,graham_az,US Senator,False,Kyrsten Sinema,democrat,False,3368.0,False,-0.39567802998600005,-0.33019045823118987,0.06548757175481018
Arizona,AZ,graham_az,US Senator,False,Martha McSally,republican,False,6870.0,True,-0.39567802998600005,-0.33019045823118987,0.06548757175481018
Arizona,AZ,graham_az,US Senator,False,,,True,5.0,False,-0.39567802998600005,-0.33019045823118987,0.06548757175481018
Arizona,AZ,greenlee_az,US Senator,False,Angela Green,green,False,108.0,False,-0.24668516805400004,-0.14569536423841056,0.10098980381558947
Arizona,AZ,greenlee_az,US Senator,False,Kyrsten Sinema,democrat,False,1042.0,False,-0.24668516805400004,-0.14569536423841056,0.10098980381558947
Arizona,AZ,greenlee_az,US Senator,False,Martha McSally,republican,False,1416.0,True,-0.24668516805400004,-0.14569536423841056,0.10098980381558947
Arizona,AZ,greenlee_az,US Senator,False,,,True,1.0,False,-0.24668516805400004,-0.14569536423841056,0.10098980381558947
Arizona,AZ,lapaz_az,US Senator,False,Angela Green,green,False,199.0,False,-0.418373555059,-0.3264340626848019,0.09193949237419807
Arizona,AZ,lapaz_az,US Senator,False,Kyrsten Sinema,democrat,False,1609.0,False,-0.418373555059,-0.3264340626848019,0.09193949237419807
Arizona,AZ,lapaz_az,US Senator,False,Martha McSally,republican,False,3265.0,True,-0.418373555059,-0.3264340626848019,0.09193949237419807
Arizona,AZ,lapaz_az,US Senator,False,,,True,0.0,False,-0.418373555059,-0.3264340626848019,0.09193949237419807
Arizona,AZ,maricopa_az,US Senator,False,Angela Green,green,False,32371.0,False,-0.034465286779000015,0.041844071266922744,0.07630935804592276
Arizona,AZ,maricopa_az,US Senator,False,Kyrsten Sinema,democrat,False,732671.0,True,-0.034465286779000015,0.041844071266922744,0.07630935804592276
Arizona,AZ,maricopa_az,US Senator,False,Martha McSally,republican,False,672505.0,False,-0.034465286779000015,0.041844071266922744,0.07630935804592276
Arizona,AZ,maricopa_az,US Senator,False,,,True,315.0,False,-0.034465286779000015,0.041844071266922744,0.07630935804592276
Arizona,AZ,mohave_az,US Senator,False,Angela Green,green,False,2027.0,False,-0.514510237366,-0.43368453455344275,0.08082570281255724
Arizona,AZ,mohave_az,US Senator,False,Kyrsten Sinema,democrat,False,19214.0,False,-0.514510237366,-0.43368453455344275,0.08082570281255724
Arizona,AZ,mohave_az,US Senator,False,Martha McSally,republican,False,50209.0,True,-0.514510237366,-0.43368453455344275,0.08082570281255724
Arizona,AZ,mohave_az,US Senator,False,,,True,19.0,False,-0.514510237366,-0.43368453455344275,0.08082570281255724
Arizona,AZ,navajo_az,US Senator,False,Angela Green,green,False,1238.0,False,-0.07916066536800004,-0.058487991266375494,0.020672674101624544
